trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,False,"{'a': 0.5, 'e': 0.9249090598573131}",20,0,-173.96359111593483,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9210609940028851}",25,0,-174.67843287612413,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9171208228166051}",30,0,-177.6851398589624,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-66.09408435056885,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",25,15,-37.86813999299274,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.9047516632199635}",30,0,-116.38987415171167,"{0: 19, 1: 1, 2: 7, 3: 3, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,13,-67.51059007231146,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.8960524975255253}",25,12,-78.3845503909572,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.8915682881953289}",20,0,-104.24697401210969,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",30,0,-111.85571123193225,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.8823328586101216}",30,0,-211.42304449316015,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-104.64867765560605,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
